,评论,日期,评分,城市,昵称
2099,二刷完还是感动落泪，《侠岚》讲述的是手中有侠岚印记的被称为侠岚，他们是守护人们的英雄。而电影升华了这个主题，没有侠岚印记的人只要心中有爱也能守护别人！还有一点就是这部电影的配乐非常出彩，而且满满的中国风，几次落泪除了剧情本身配乐有很大的功劳，真的是音乐一出就落泪,2018-08-04,5.0,成都,周爱華
2114,国产动漫崛起！！,2018-08-04,5.0,锦州,熊尾843
2129,不错不错，挺好看的,2018-08-04,5.0,洛阳,DHG660581544
2144,可以，支持国漫,2018-08-04,5.0,琼海,dLe871940783
2159,故事情节和 以往的剧情差不多。  3D 效果 不是很明显。,2018-08-04,5.0,济南,SSe485275450
2174,以己生之力护一方平安。,2018-08-04,5.0,济宁,染墨江山
2189,很好看，剧情和效果都不错,2018-08-04,5.0,武威,zoP21003060
2234,国漫这个水准至少可以的……死瞎子……,2018-08-04,4.0,深圳,拥有人格的鬼
2249,啊 边江大大,2018-08-04,5.0,宿迁,天线是条狗
2264,第一期预告片一出来就在期待了，追侠岚从小学到高中，终于得偿所愿看到了电影。风语咒很棒，气氛轻松幽默，却能在高潮时震撼人心，侠岚之名意味着守护，无论拥有元炁与否，拥有守护之心，便当得起侠岚的信念之名。,2018-08-04,5.0,凤翔县,时间琐忆
2279,完美的逻辑性 国漫之光,2018-08-04,5.0,泉州,SkR783413674
2294,很好看啊，支持国产动画片～虽然一开始看到画风有点像网页游戏，哈哈哈，但是真的蛮好看的，又搞笑又感人,2018-08-04,5.0,江门,VGh603729084
2309,给满分不怕骄傲！我爱画江湖！深坑老粉！感觉制作超级好！！梗超多！前半段笑！后半段哭！！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈“人未尽杯莫停”,2018-08-04,5.0,长春,_sina88531087647
2324,有笑点 有泪点 节奏不错 配乐好听 剧情有套路也有反套路 是不错的国漫,2018-08-04,5.0,南宁,子觉木飞
2339,风趣幽默的动漫电影，还有一些感人和道理，非常棒！,2018-08-04,5.0,廊坊,dtY840253892
2354,有些剧情安排不是很好，不过国产动画啦，还是很棒了~,2018-08-04,4.0,安阳,Silver丶无言
2369,不错，内容很感人，意料之外的惊喜,2018-08-04,4.0,岳阳,jaP625117220
2414,刷分太严重了吧，哪有这么高分,2018-08-04,0.5,淮南,cpy742
2444,很感人的动漫 不错的,2018-08-04,5.0,朝阳,Qjt746681997
2459,动画片能排出这个效果，真的太赞了，故事还不错，国产动画中的良心之作，值得支持。,2018-08-04,5.0,重庆,sNz914716448
2474,五星吧，真的侠岚我已经很久没看过了，这部电影又勾起了我的回忆，电影里的泪点很多，不得不说我特别喜欢这种类型的电影，特别是母亲变成罗刹即将变成饕餮的食物那里的，巨虐心，我一想到就想哭，这部电影里的套路也是让你措不及防，有泪也有笑吧，最后的彩蛋不知道看没看完，并不是男女主直接就在一起的大圆满结局，而是女主依旧失忆，给人一种以后一定能好起来的希望感，可以说比起那种皆大欢喜的结局我更喜欢这种慢慢浸入人心希望之感，不得不说这部电影真的是太得我心，以及最后郎明和郎敬的那个分镜真的是一下戳中我心里的一个点了，太心水这种分镜了，就是时光变迁，依旧有一个人，传承着你的信念的那种感觉？最后我们仍未女主叫什么？,2018-08-04,5.0,宜宾,nMN618072493
2489,"非常，完美。
只要守护，就是侠岚啊……",2018-08-04,5.0,青岛,哔哩倥嗒zzZ
2504,还行吧，我感觉,2018-08-04,4.0,佛山,KZr479360664
2519,电影是真的没得说，但是五排某两人，四排，还有后面的总有人说话，还有人嗑瓜子，这个素质，呵呵,2018-08-04,5.0,泗洪,xZK494931468
2534,嗯，看了之前的评论，我决定到电影院一看，前面说好的评论，要么是**，要么就是托儿，我觉得这个电影，首先故事性就不是那么强，再有电影主旨叙述逻辑很差，台词要么是插科打诨，强行突出主题，让人非常容易跳戏，真的无法与大圣归来相比。玄机科技特效可以做得很好，但是在剧本的选择上能不能再提高点呢？在这个电影中，我看到了，风语者，诸神之乱，火影忍者的影子，刘闊你抄的认真点好不好？,2018-08-04,2.5,南京,wizard57118121
2549,好看，剪辑差点,2018-08-04,5.0,深圳,Txs829752814
2564,我觉得很好看,2018-08-04,4.5,集美,SOx933831654
2594,好看的，画风不错，剧情也好笑,2018-08-04,5.0,永康,大盗贼
2609,挺好看的。.,2018-08-04,5.0,合肥,BpR673849090
2624,很好，孩子大人都喜欢,2018-08-04,5.0,太原,魔宴烟云
2639,完美，执念的等待。,2018-08-04,5.0,萍乡,风吹屁屁凉。714
2654,推荐大家去看。,2018-08-04,5.0,烟台,伯堃
2669,很喜欢的电影,2018-08-04,5.0,阜阳,KdZ439547773
2684,很赞，就是结尾太快了,2018-08-04,5.0,北京,TomatosX
2699,笑中带泪，很感动。,2018-08-04,5.0,长沙,SSj633113426
2714,非常不错 情节很紧凑 母子情很感人,2018-08-04,5.0,成都,abcd｜chen
2729,真的不错，有笑点有泪点，支持国产动漫！,2018-08-04,4.5,台州,影院浪子
2759,很好看，泪点很多。,2018-08-04,5.0,濮阳,秋酿a
2789,国内动画片顶级,2018-08-04,5.0,大连,高亮941
2819,看哭了，看笑了,2018-08-04,4.5,上海,zUQ745494212
2834,很不错，良心国产,2018-08-04,5.0,公安,睁眼874
2849,没想到一个动画片给我看哭了T^T推荐大家观看，国产动画片不可多得的好影片👍👍👍,2018-08-04,5.0,武汉,墨羽翡夜
2864,可以，非常好看,2018-08-04,5.0,宿州,雄鹰23554
2879,超乎想象。我从初中开始就看侠岚了，到现在开始工作了，近7年了。我会一直支持下去,2018-08-04,5.0,顺德,陽6009
2894,3D效果太差劲了，diss大地影院，虽然电影蛮好看的，所以还是给了五星,2018-08-04,5.0,随州,吁嗟鸠兮828
2924,中间剧情有点模仿捉妖记，但不影响整部剧的好评。我就记住了 那个村。真是全剧的所有笑点承包，真的强烈推荐，良心巨作,2018-08-04,5.0,南宁,ZUg308401762
2969,挺不错的动漫，我儿子说今天的电影很好看，就是结尾一直没有看见彩蛋出现过😃😃😃,2018-08-04,5.0,泉州,VZe481145287
2984,非常好看！支持国漫！,2018-08-04,5.0,锦州,我要去看电影123
3029,国漫也可以很经典，没有大团圆的结局也可以很完美,2018-08-04,5.0,武汉,klxk_kk
3044,动画制作非常，情节也不错，就是封印饕餮时候打斗过程太短了，完全没体现风雨咒多牛逼🐮 ,2018-08-04,4.5,上海,GOc289385026
3074,不错的国漫了，希望制作团队以后能越做越好。,2018-08-04,4.0,长沙,Phantom。688
3089,一个没有看过侠岚动漫的人竟然来看侠岚电影。。。感觉有点奇怪 。。,2018-08-04,4.0,济源,高嘿嘿ya
3104,最喜欢里面的苏兮，很好看。双马尾，是我喜欢的形象。我看过画江湖的侠岚动画，我只看了一集就没看了。一个是没时间，二是觉得和画江湖其他作品差距有点大，这次风语咒我完全是冲着画质去的，但是我觉得故事也很好，比动画版的好很多，推荐大家看，带上小朋友看，很有教育意义。,2018-08-04,5.0,成都,李华川1992
3119,非常非常好看,2018-08-04,5.0,怀化,juL209287809
3149,无法言语形容的完美！这简直就是被海报耽误的喜剧动画！,2018-08-04,5.0,深圳,yvg137294463
3164,国产动画质量在70.80后手中，不说有质的飞跃，但确实长进了不少,2018-08-04,5.0,三门峡,EOm707522149
3179,虽然在那个村这段有些牵强，但是不影响整部作品的上乘表现。被打动了，被燃到了，感动到了。国漫无敌。,2018-08-04,5.0,昆明,Silent丶无痕
3194,建行信用卡5元购票纯粹骗人，以后不会再用,2018-08-04,0.5,大同,sEA626968068
3224,"因为热爱侠岚！所以也热爱风雨咒！
这样的热血很久没有感觉到了！",2018-08-04,5.0,呼和浩特,_qq34w1364613073
3239,效果还行，剧情稍薄弱,2018-08-04,3.5,武汉,hQN710377148
3254,"十分好看
推荐",2018-08-04,5.0,杭州,EJJ524534961
3269,挺搞笑的，3d效果不错,2018-08-04,5.0,成都,JCz748963058
3284,还不错，故事可以在打磨一下，特效上还需努力，最不好的就是配音了，声音跟人物有差距,2018-08-04,4.0,杭州,彩色世界933
3314,很不错，就是感觉饕餮太脆了，出场十分钟就被主角干趴，穷奇六季才被封印［手动滑稽］期待画江湖下一部作品🌚 ,2018-08-04,5.0,乐山,虚伪·811
3329,"蛮不错的
？",2018-08-04,5.0,仙桃,pqhyq
3344,很棒，值得一看！,2018-08-04,5.0,营口,温柔DuR3x丶
3359,总体感觉不怎么样，画江湖之侠岚给我整个疯子，风雨咒整个瞎子，我的辗迟呢，我的辰月呢😡 😡 😡 ,2018-08-04,2.5,蛟河,haE894293113
