,评论,日期,评分,城市,昵称
6314,姜文导的电影从来没有让我失望过,2018/7/21,5.0,深圳,qxL479321192
6329,"感觉想模仿昆汀，然而功力太差
真的看到一半就想走了，观感实在差
虽然开头，配乐，场景，摄影还不错
说好看的是真的吗，黑色幽默，暴力美学拍成这样，拍成观众一脸懵逼的样子，真的是导演的问题",2018/7/21,1.0,大丰,Gcf694367351
6344,朱一龙推荐的肯定好看，少有的良心剧,2018/7/21,5.0,湘西,天官赐福
6359,还行，期待下部能更好,2018/7/21,3.5,汕头,吃喝玩乐201357
6374,好看好看真好看,2018/7/21,4.5,兰州,小丐片
7169,竟无语凝噎。剧情没有好好铺垫，人物间的感情、对话总感觉刻意而突兀，甚至说实话，跟平板型人物没什么差别。影片的处理也不好，特效可以不要，但拍摄的技巧可以再打磨打磨，让我代入一会会儿吧。,2018/7/21,1.0,大丰,赫连涅尘
7214,一家人看的还可以,2018/7/21,4.5,绥中,dream莹
7274,好看，超想看的,2018/7/21,5.0,绵阳,莫奈268
7289,姜文出品必属精品,2018/7/21,5.0,北京,wiG785061675
7319,比较失望，没有预想的那么好看。,2018/7/21,3.5,宜昌,坡花
7349,很失望，影片严重断片，演员也演得了了,2018/7/21,0.5,金华,STI347537123
7364,彭于晏超级帅！,2018/7/21,5.0,玉溪,全金属雪糕。
7379,彭于晏好帅，演技也好，电影内容蛮深刻的，推荐,2018/7/21,5.0,包头,已经饿扁啦
7394,挺好看，有点血腥，刺激，后面有点看不懂了。,2018/7/21,4.0,昆山,efV707658779
7409,没意思  姜大爷  你想说什么啊 真心的累,2018/7/21,0.5,西安,SOh112534257
7424,光电影而言可以说精彩,2018/7/21,3.5,上海,卫伟8012
7469,主要看彭于晏去了，剧情一般,2018/7/21,5.0,贵阳,EasonCCCCCCC
7619,挺好的，很喜欢,2018/7/21,5.0,济宁,依依0043
7709,可能是我比较low，完全看不懂（＃－.－）,2018/7/21,2.5,景德镇,BSW151
7724,体现不出什么意义，没看明白想表达啥,2018/7/21,3.5,沈阳,燕子90584
7754,看到最后没看出啥东西,2018/7/21,3.5,合肥,mYd988592335
7769,故事很不错。,2018/7/21,4.0,昆明,Dwl710052596
7844,为了商业妥协 反而不如一步之遥 ,2018/7/21,4.0,天津,大天使8196
7859,还可以吧，可看,2018/7/21,4.0,大连,佳大业大
7889,好好嗯今天天气冷总,2018/7/21,5.0,深圳,yuanyong114
7904,还好 仅限于还好,2018/7/21,3.0,哈尔滨,sharpppp2
7919,很好，值得推荐，小朋友看可能会有些害怕,2018/7/21,5.0,武汉,根本不知道起啥名
7934,讽刺意味满满，总是能戳中我的笑点。就是演员语速太快了，也可能是我反应速度慢，有很多点还没来得及细细品味就过去了。哈哈哈没事儿的时候再来看看,2018/7/21,4.5,哈尔滨,无澜
7994,又黄又暴力节奏还快 可以去看惊喜死你,2018/7/21,5.0,商丘,dJz737488664
8054,不愧是影帝的杰作,2018/7/21,4.5,北京,何飞
8084,一般般。。。。。,2018/7/21,3.5,阜阳,wl13966808000
8114,姜文我拜托你不要再拍电影了,2018/7/21,0.5,成都,关谷2012
8174,我静静妹妹,2018/7/21,4.0,襄阳,w柏伍岑
8234,期望过高带来的就是失望,2018/7/21,3.0,宜昌,J
8249,真的是超级超级烂！超级超级！大家别看了！省点儿钱 干啥不好！！,2018/7/21,0.5,沈阳,evachen83
8309,还行吧，就是没看明白，,2018/7/21,3.5,盘锦,pTL154643672
8474,导演脑子坏掉了，浪费钱和别人的时间,2018/7/21,2.0,西安,王成857
8894,很好看！彭于晏好帅,2018/7/21,5.0,徐州,dwL810654280
8909,曲美影酷人靓,2018/7/21,5.0,厦门,Spd424496063
8924,一般没看头，单纯的冲彭于晏去看的,2018/7/21,1.5,南阳,SJQ511866565
8939,很有姜文的风格,2018/7/21,4.5,天津,飞蛾扑火
8969,比较凌乱，没有主题故事线路,2018/7/21,2.5,北京,NASDAQ154
9074,北平的天空真精彩,2018/7/21,3.5,重庆,hHM744501878
9104,就是一个简单的事情，文哥整的好复杂,2018/7/21,3.5,上海,uor154885367
9134,还不错，姜文导演的准没错,2018/7/21,5.0,武汉,Usj597436066
9254,8分是给姜文的，但是原来越看不懂了，要不是我们肤浅了,2018/7/21,4.0,柳州,魁哥
9284,没有让子弹飞好看,2018/7/21,3.5,临汾,李小云0008
9539,"看过《雪国》吗
我猜那个雪就像北平街头那么美
好喜欢周韵好喜欢许晴啊ε??(??> ?? <)?? з",2018/7/21,4.5,绍兴,啾啾0904
9569,彭于晏一如既往的帅,2018/7/21,2.5,红河,f易燃易爆
9584,不会写好电影,2018/7/21,5.0,章丘,突击攻坚
9599,有点看不懂。。,2018/7/21,4.5,临沂,蕴涵爱猫
9689,彭于晏真帅耶,2018/7/21,4.0,泉州,sEc814948790
9704,彭于晏luoshen，亮眼睛，第一次这么放的开,2018/7/21,4.0,连江,Eric30
9734,为了彭于晏去看的。连彭于晏都拯救不了的电影，像看了一场话剧。,2018/7/21,0.5,武汉,mvD13971443339
9929,无聊，要睡了！,2018/7/21,0.5,上海,TQJ598584399
9944,除了男神耍帅，无剧情,2018/7/21,1.5,伊宁,Bzhenq爱zhoumeny
10004,感觉一般，不是那么喜欢。,2018/7/21,1.5,重庆,ppT850899530
10019,挺好看的，哈哈哈,2018/7/21,5.0,梅河口,总有逗比调戏我
10034,黄色电影我喜欢,2018/7/21,5.0,南京,OPi936763135
10049,虽然改掉了语无伦次，但毕竟姜文还是老了,2018/7/21,3.5,郑州,老实人一个849
10064,跌宕起伏的剧情，节奏很紧凑，四位主演有演技有颜值，值得推荐,2018/7/21,4.0,北京,e35400
10079,有笑点，比较搞笑，情节一般,2018/7/21,4.5,郑州,哈哈冯李李
10094,额，我没看懂，我看睡着了,2018/7/21,4.0,驻马店,李白他二伯
10109,好看好看好看,2018/7/21,5.0,岳阳,tb2655
10139,一般般，soso,2018/7/21,3.0,台州,莎莎1994
10184,孩子去看的据说还行！,2018/7/21,4.0,合肥,李育松503
10214,制作讲究，演绎精彩！,2018/7/21,3.0,襄阳,忘塵326639088
10259,这是我十年看过最烂的电影，没有之一。,2018/7/21,0.5,呼和浩特,KWX821
10274,一般。。。。。,2018/7/21,3.0,哈尔滨,QbS738956364
10364,没有想象中的好，但也有它独特的意味。,2018/7/21,3.0,高邮,iIT355342105
10394,个人觉得 除了姜文的演技之外 彭于晏和父亲的对话就像念台词一样 行动就像一个不知道他想干什么的疯子 邪不胜正也没看出来哪里不胜正 电影看的有点打瞌睡给个一分给姜文一分给标题,2018/7/21,1.0,本溪,taB501057596
10409,远比想象中差距太远～觉得浪费了这好几个硬汉表演，很失望。,2018/7/21,3.0,石家庄,Hey许久不见
10424,一般吧，本来就是冲着彭于晏去看的，其他的就那样,2018/7/21,2.5,无为,空巢仙女人土土
10604,太烂了，太烂了,2018/7/21,0.5,海口,rdp895360503
10619,影片缺少感觉,2018/7/21,2.5,开封,王一名784
10634,为了彭于晏的奔跑去看电影的！,2018/7/21,4.5,石河子,心盲眼盲229
10664,姜文试的表达，电影节奏。能量点多，而且分散。不是那个年代的人，或知识面窄，里边就会有很多点，get不到,2018/7/21,4.0,新乡,NIF740346059
10754,强烈要求总局把影片分级，见到还有家长带小朋友来看的。,2018/7/21,5.0,东莞,gfj783055186
10814,我女朋友说整部片子她完全看不懂，她说她单纯只是为了他的美貌才看完整场，哎。。。赞,2018/7/21,3.5,上海,满天飞雪
10919,不行啊，叙事太差劲,2018/7/21,1.5,保山,KuT450480672
10934,不用说什么了，满分敬上,2018/7/21,5.0,金华,_qqhzn1389168908
10979,儿子说不怎么样,2018/7/21,3.5,无锡,姚陈意一
10994,非常烂的片子,2018/7/21,0.5,武汉,xuE261278944
11009,特别姜文的一部电影，我真的不知道如何评价剧情，只记得出各种充满个人色彩的表达方式。,2018/7/21,4.0,广州,Ugv948078329
11024,大概是我这个观众不行吧。除了小脚放足跨过贞节牌坊那个桥段有感触，其余全程在匪夷所思。,2018/7/21,3.0,深圳,堂堂夜小末
11039,很好啊！挺喜欢,2018/7/21,4.0,肥城,iIz952141663
11054,没看懂太深的意义，没什么意思都睡着了……全程就靠彭于晏的好身材了……,2018/7/21,2.5,长春,NhF933495792
11264,"《邪不压正》——典型的姜文电影（看得懂的人喜欢，看不懂的人想睡觉）
姜文式的幽默会让相对压抑的电影有了一丝缓和。剧情的推进相对紧凑，演员的台词是典型的姜文式风格，加上BGM让人感觉像西方的歌剧或者舞台剧。廖凡和姜文的演技真的厉害，廖凡的可塑性太强了，演啥都像。至于彭于晏，颜值和身材真的没话说，但是他的台湾口音始终让我有点出戏，说不说北京人的感觉，而且他很多戏份像在房顶跑酷。
剧情的后半段比前半段更加精彩，总的来说，姜文的电影更多的是展现他想要的东西，很多人看不懂他的电影，或许可以认知为“属于姜文自己的艺术”吧。个人觉得，这本电影，可以看一下，不过或许会睡着[捂脸]。《让子弹飞》可能更加好看一点",2018/7/21,3.5,武汉,Tracy28809
11294,一如既往，痴人说梦,2018/7/21,5.0,深圳,Ptz101113462
11309,不好看，都睡着了……,2018/7/21,2.5,常州,yuan602627031
11384,真难看，像一群傻子，不知道在干嘛，千万别看,2018/7/21,0.5,石家庄,bnh144283649
11399,很好看，感受很深，冲男了力量，荷尔蒙爆发,2018/7/21,5.0,淮安,小美盼子
11429,超级难看 都要睡着了,2018/7/21,0.5,宜昌,Sns755856860
11459,这拍的什么烂东西，姜文还是天分差点。。。,2018/7/21,1.5,岳阳,你香香
11519,说个叼，**根本看不懂，我是看了个假电影吗？,2018/7/21,5.0,汕头,MT在上
11549,还行吧，完全来舔彭于晏的颜,2018/7/21,2.5,东莞,eWk873872843
11594,不错的不错的不错的,2018/7/21,5.0,济宁,xky314172872
11609,语言风趣幽默，剧情稍微偏于简单，挺让人放松愉快的。,2018/7/21,4.0,南京,天地浩瀚1998
11624,有二就更好了,2018/7/21,3.5,庆阳,Ymp724482228
11804,很酷啊 呵呵呵,2018/7/21,3.5,北京,good8movie
11819,喜欢关巧红，因为她是为一个让彭于晏心动的人,2018/7/21,5.0,汕头,波妞299
11834,..好.....,2018/7/21,5.0,诸暨,野性藏於性
11849,整体还不错，有看点,2018/7/21,5.0,北京,mAQ878953320
11879,很好看 很好看,2018/7/21,5.0,大同,Switzerlandli
11924,太血腥，这也能拍出来，这些演员也是醉了，？！？！！,2018/7/21,0.5,长沙,PMG578508957
11939,挺好看的，有点小贵，周韵演的挺好,2018/7/21,5.0,哈尔滨,JJP341597692
11969,"好吧
剧情不是一般人能看懂
",2018/7/21,3.5,雅安,uxs864341274
11984,很不错的电影,2018/7/21,5.0,泰州,點點。。。
12014,好的片子总是意料之外，情理之中，**的片子却都是意料之中，情理之外，名不正言何以顺？不通啊,2018/7/21,3.0,深圳,Ucc827153109
12029,彭于晏超级帅,2018/7/21,5.0,石家庄,五月奔
12044,布的景很漂亮，到有很多突兀的地方，后期复仇并没有给人很爽的感觉。可它是姜文拍的，值一张电影票呀?? ,2018/7/21,3.5,北京,王伟4380
12059,画面刺激，故事离奇。,2018/7/21,4.0,北京,bjman50
12074,也就那样吧，有点遗憾,2018/7/21,3.5,武汉,tjB662421056
12119,复仇的故事，姜文这部电影没有人看不懂了吧,2018/7/21,4.5,武汉,noodles740
12149,影评不会写反正就是一个字 好看,2018/7/21,4.5,砀山,Yu胖嘟嘟
12164,冒着台风和朋友去看的，淋透了！动作和演技挺好的，但是剧本不是很好。,2018/7/21,3.5,杭州,笙笙漓人兜兜风
12284,许晴演的很棒,2018/7/21,4.0,杭州,mZt985855511
12314,看不下去。。。好尴尬的电影。。。姜文才尽,2018/7/21,1.5,南宁,a592549560
12329,比较精彩，故事情节曲折,2018/7/21,4.5,南通,bWt10142666
12659,电影不错，彭于晏帅,2018/7/21,4.0,汕头,dMG438833636
12674,姜氏电影风格,2018/7/21,5.0,西安,Fwc502898655
12704,无聊的电影，没看完就中途退场了,2018/7/21,2.5,深圳,Cin617825292
12734,什么乱七八糟的！,2018/7/21,0.5,集美,liunaonao_1984
12764,画面有美感，演技在线，有几处搞笑梗，但代入感不强，有几次看走神了,2018/7/21,4.0,天津,xztl
12794,还可以吧，值得去看一下。,2018/7/21,4.0,西安,WLc453038667
12839,给多了怕你骄傲??剧情不错，也很有意思,2018/7/21,4.5,绵阳,wRh71559623
