data-id,城市,印象,城市游记,印象游记,景点游记,餐饮游记,购物游记,娱乐游记
175763,罗山县,,0,0,0,0,0,0
64636,灌云,,0,0,0,0,0,0
15962,青州,,343,0,0,0,0,0
58033,平溪,烤香肠 平溪站 十分站 菁桐,81,0,0,0,0,0
176408,滨海县,,0,0,0,0,0,0
140567,渑池,,0,0,0,0,0,0
21747,黄岛,,160,0,0,0,0,0
182219,瑞芳,,0,0,0,0,0,0
140558,博爱县,,0,0,0,0,0,0
176405,响水县,,0,0,0,0,0,0
11820,菏泽,,0,0,0,0,0,0
143788,义马,,0,0,0,0,0,0
18571,张浦,,0,0,0,0,0,0
29429,彰化,城市攻略>,56,0,0,0,0,0
55762,荣成,,176,0,0,0,0,0
140582,镇平,,0,0,0,0,0,0
176336,涟水县,,0,0,0,0,0,0
24185,保山,古村落 温泉 滇西战争 饵丝 火山石纪念品 大救驾 侨乡 稀豆粉 保山特产,56,2212,1077,465,219,451
17303,烟墩角,,0,0,0,0,0,0
143789,长垣,,0,0,0,0,0,0
176324,金湖县,,0,0,0,0,0,0
11494,楚雄,,162,0,0,0,0,0
140571,原阳,,0,0,0,0,0,0
176369,灌南县,,0,0,0,0,0,0
11436,莱芜,,89,0,0,0,0,0
143797,西华,,0,0,0,0,0,0
23992,紫金山,,0,0,0,0,0,0
16491,和顺,,383,0,0,0,0,0
11612,乳山,,135,0,0,0,0,0
143802,正阳,,0,0,0,0,0,0
18728,洋口港,,0,0,0,0,0,0
17298,弥勒,,333,0,0,0,0,0
20482,滨州,,44,0,0,0,0,0
143785,宝丰,,0,0,0,0,0,0
29785,明孝陵,,0,0,0,0,0,0
21358,普洱,,214,0,0,0,0,0
16768,龙口,,113,0,0,0,0,0
140617,长葛,,0,0,0,0,0,0
17763,夫子庙,,110,0,0,0,0,0
12643,曲靖,小吃 古镇 公园 自然景观 花山带皮羊肉 蒸饵丝 火腿 购物街 温泉,130,276,126,105,32,13
64454,海阳,,66,0,0,0,0,0
143781,伊川,,0,0,0,0,0,0
16588,阳澄湖,,0,0,0,0,0,0
15960,周村,,0,0,0,0,0,0
66296,临颍,,0,0,0,0,0,0
24834,澄江,,181,0,0,0,0,0
26752,玄武湖,,0,0,0,0,0,0
28294,沂水,,0,0,0,0,0,0
140569,宜阳,,0,0,0,0,0,0
17764,中山陵,,0,0,0,0,0,0
15946,沙溪,,382,0,0,0,0,0
11276,高密,,0,0,0,0,0,0
11277,洪泽湖,,0,0,0,0,0,0
143786,叶县,,0,0,0,0,0,0
66251,玉龙纳西族自治县,,0,0,0,0,0,0
84781,城阳,,0,0,0,0,0,0
38737,林屋洞,,0,0,0,0,0,0
143795,沈丘,,0,0,0,0,0,0
64946,新城,,0,0,0,0,0,0
64380,即墨,,0,0,0,0,0,0
44093,金鸡湖,,0,0,0,0,0,0
175811,宁陵县,,0,0,0,0,0,0
41874,栖霞寺,,0,0,0,0,0,0
22069,滕州,,64,0,0,0,0,0
175805,睢县,,0,0,0,0,0,0
23044,礁溪,,0,0,0,0,0,0
18318,盛泽湖,,0,0,0,0,0,0
64381,栖霞,,0,0,0,0,0,0
175766,光山县,,0,0,0,0,0,0
25327,苗栗,城市攻略>,49,0,0,0,0,0
18281,莱州,,0,0,0,0,0,0
175823,夏邑县,,0,0,0,0,0,0
18238,山塘街,,64,0,0,0,0,0
52237,兰屿,城市攻略>,101,0,0,0,0,0
143800,西平,,0,0,0,0,0,0
25539,大明寺,,0,0,0,0,0,0
25946,邹城,,70,0,0,0,0,0
