公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月薪
优倍快网络技术咨询(上海)有限公司,优倍快 (UBNT),150-500人,上市公司,福田区,PHP开发工程师,1-3年,大专,10k-20k,"创业氛围,上市公司,智能硬件,扁平化管理","['1', '3']",2.0,"['10', '20']",12.5
广州市星奈吉贸易有限公司,星奈吉,150-500人,C轮,南山区,PHP高级开发工程师,1年以下,本科,10k-20k,"五险一金,车补,餐补,团建",['1'],1.0,"['10', '20']",12.5
深圳市玖昔科技发展股份有限公司,爱豆子,50-150人,B轮,南山区,PHP开发工程师,1-3年,本科,10k-20k,"技术追求,高速成长","['1', '3']",2.0,"['10', '20']",12.5
深圳傲基电子商务有限公司,傲基,2000人以上,上市公司,,PHP开发工程师,3-5年,大专,10k-20k,上市公司 快速发展 技术提升 工作氛围好,"['3', '5']",4.0,"['10', '20']",12.5
深圳市恒之易电子商务有限公司,恒之易,50-150人,未融资,宝安区,PHP,不限,大专,13k-18k,福利： 五险一金、年终奖、节日福利等,[],0.0,"['13', '18']",14.25
在线途游（北京）科技有限公司,途游,150-500人,B轮,南山区,PHP开发工程师,3-5年,本科,15k-25k,"朝阳业务,扁平管理,技术成长","['3', '5']",4.0,"['15', '25']",17.5
深圳市灵游互娱股份有限公司,灵游互娱,150-500人,A轮,南山区,PHP开发,3-5年,本科,15k-20k,"薪酬福利,团队氛围,平台前景,周末双休","['3', '5']",4.0,"['15', '20']",16.25
万兴科技股份有限公司,万兴科技股份有限公司,150-500人,上市公司,南山区,高级PHP开发工程师,3-5年,大专,10k-20k,前景好、工作环境好、同事很Nice，待遇优,"['3', '5']",4.0,"['10', '20']",12.5
传利科技（深圳）有限公司,传利科技（深圳）有限公司,少于15人,不需要融资,南山区,PHP开发工程师,1-3年,不限,7k-10k,"五险一金,弹性工作,公司旅游,美女多","['1', '3']",2.0,"['7', '10']",7.75
深圳市泛娱科技产业有限公司,泛娱科技,15-50人,天使轮,南山区,PHP高级开发工程师,3-5年,大专,12k-18k,好,"['3', '5']",4.0,"['12', '18']",13.5
深圳市橙橙网络科技有限公司,e橙优品,少于15人,未融资,宝安区,php开发工程师,1-3年,本科,6k-10k,"区块链,股权激励","['1', '3']",2.0,"['6', '10']",7.0
深圳科极达盛投资有限公司,科极达盛,50-150人,A轮,南山区,php程序员/开发人员,1-3年,大专,10k-15k,"福利待遇好,升职空间大,领导好,项目提成多","['1', '3']",2.0,"['10', '15']",11.25
深圳嵊灿科技有限公司,嵊灿科技,150-500人,上市公司,,PHP开发工程师,5-10年,本科,15k-22k,良好发展空间及机会，氛围好,"['5', '10']",7.5,"['15', '22']",16.75
深圳市杰迈科技有限公司,杰迈云智,15-50人,未融资,宝安区,高级PHP开发工程师,3-5年,本科,8k-12k,PHP开发,"['3', '5']",4.0,"['8', '12']",9.0
深圳壹加零网络科技有限公司,深圳壹加零,15-50人,天使轮,南山区,PHP高级开发工程师,3-5年,本科,15K-25K,"弹性工作制,五险一金,年两次旅游,不用加班","['3', '5']",4.0,"['15', '25']",17.5
深圳市米糠云科技有限公司,深圳市米糠云科技有限公司,15-50人,未融资,南山区,php程序员 php研发,1-3年,本科,8k-16k,"加班补贴,社会保险","['1', '3']",2.0,"['8', '16']",10.0
深圳市赢众通金融信息服务有限责任公司,小赢科技,500-2000人,B轮,南山区,中级PHP开发工程师,1-3年,本科,15k-30k,五险一金、定期体检、绩效奖金、午餐补助,"['1', '3']",2.0,"['15', '30']",18.75
深圳掌阅动漫科技有限公司,掌阅动漫,15-50人,天使轮,南山区,PHP／资深／专家,3-5年,本科,16k-26k,一起拼搏，成长，伴随着漫画，美女，战友,"['3', '5']",4.0,"['16', '26']",18.5
深圳市前海欢雀科技有限公司,欢雀科技,50-150人,A轮,南山区,PHP工程师,1-3年,大专,10k-16k,"五险一金,5天8小时,团队优秀","['1', '3']",2.0,"['10', '16']",11.5
旭逹資訊科技有限公司,旭逹資訊科技有限公司,15-50人,未融资,福田区,高级PHP工程师,3-5年,大专,13k-15k,高级工程师,"['3', '5']",4.0,"['13', '15']",13.5
厦门美图之家科技有限公司,美图公司,2000人以上,上市公司,南山区,高级php工程师,3-5年,本科,15k-25k,"技术牛,产品牛","['3', '5']",4.0,"['15', '25']",17.5
深圳来星网络科技有限公司,Livestar,50-150人,B轮,南山区,高级PHP开发工程师,3-5年,本科,12k-20k,"牛人多,福利待遇好,气氛好,技术控","['3', '5']",4.0,"['12', '20']",14.0
北京洲济通网络科技发展有限公司深圳分公司,洲济通,15-50人,天使轮,南山区,PHP-Web应用开发,1-3年,大专,10k-15k,"福利多,前景好,氛围棒","['1', '3']",2.0,"['10', '15']",11.25
深圳饰的时尚珠宝有限公司,饰的饰的,15-50人,天使轮,罗湖区,php开发工程师,3-5年,本科,13k-25k,"公司美女多,氛围好,薪水高,期权奖励","['3', '5']",4.0,"['13', '25']",16.0
安徽立品网络科技有限公司,大金科技,150-500人,不需要融资,龙岗区,PHP工程师,3-5年,大专,13k-26k,"年终奖金,年假30天,提供食宿,机票报销","['3', '5']",4.0,"['13', '26']",16.25
富途网络科技（深圳）有限公司,富途网络,150-500人,C轮,南山区,PHP开发工程师,3-5年,不限,15k-25k,"精英团队,弹性工作,行业独角兽,福利待遇","['3', '5']",4.0,"['15', '25']",17.5
深圳环宇国际旅行社有限公司,环宇国旅,15-50人,不需要融资,龙岗区,PHP开发工程师,1-3年,大专,7k-10k,"不加班,双休","['1', '3']",2.0,"['7', '10']",7.75
誇克鏈科技有限公司,夸克链,150-500人,天使轮,南山区,PHP后台开发高级工程师,3-5年,本科,15k-30k,"高薪酬,空间大,福利好,双休","['3', '5']",4.0,"['15', '30']",18.75
深圳市微垠信息科技有限公司,巴巴赢客,500-2000人,天使轮,福田区,PHP高级开发工程师,3-5年,本科,9k-12k,"免费外训,提升培训,免费","['3', '5']",4.0,"['9', '12']",9.75
深圳市伊世易信息科技有限公司,深圳市伊世易信息科技有限公司,少于15人,未融资,福田区,PHP开发工程师,1-3年,大专,8k-16k,"协作,扁平化,氛围好","['1', '3']",2.0,"['8', '16']",10.0
深圳大川网络科技有限公司,大川,50-150人,不需要融资,南山区,PHP开发工程师,1-3年,大专,15k-25k,"五险一金,包中晚餐,项目奖金,多种福利","['1', '3']",2.0,"['15', '25']",17.5
创销英杰软件（深圳）有限公司,英雄开发,150-500人,不需要融资,南山区,PHP高级工程师,3-5年,本科,20k-25k,"十天年假,环境氛围好,团队大牛多,薪资待遇高","['3', '5']",4.0,"['20', '25']",21.25
中邮电贸实业（深圳）有限公司,中邮电商,15-50人,不需要融资,福田区,PHP英文工程师,1-3年,本科,10k-15k,"带薪年假,弹性工作,节日福利,跨境电商","['1', '3']",2.0,"['10', '15']",11.25
深圳安捷互联有限公司,校鸽,50-150人,A轮,南山区,PHP开发工程师,1-3年,大专,6k-10k,"发展空间大,健身俱乐部,年度旅游,下午茶","['1', '3']",2.0,"['6', '10']",7.0
广东创图文化传媒有限公司,创图文化,15-50人,未融资,福田区,PHP工程师,3-5年,大专,15k-25k,"社保齐全,晋升空间大,双休,带薪年假","['3', '5']",4.0,"['15', '25']",17.5
深圳触云科技有限公司,深圳触云科技,50-150人,B轮,南山区,PHP开发工程师,3-5年,大专,10k-20k,"氛围好,领导好","['3', '5']",4.0,"['10', '20']",12.5
深圳市奇创网络科技有限公司,深圳奇创,50-150人,未融资,福田区,高级PHP开发工程师,3-5年,大专,10k-15k,"周末双休,五险一金,节日福利,员工旅游","['3', '5']",4.0,"['10', '15']",11.25
深圳市易仓科技有限公司,易仓,150-500人,未融资,南山区,高级PHP工程师,3-5年,大专,15K-25K,"跨境电商,技术大牛,福利多,氛围活跃","['3', '5']",4.0,"['15', '25']",17.5
大地零一（深圳）科技有限公司,大地零一,50-150人,不需要融资,南山区,PHP开发工程师,5-10年,本科,15k-30k,"双休,7.5小时,午餐补助,福利好","['5', '10']",7.5,"['15', '30']",18.75
深圳市龙霸网络科技有限公司,龙霸网络,50-150人,未融资,宝安区,高级PHP,1-3年,大专,6k-12k,"五险一金,交通方便,员工旅游,多次调薪","['1', '3']",2.0,"['6', '12']",7.5
深圳市龙亿文化传播有限公司,龙亿文化,15-50人,未融资,龙岗区,PHP开发工程师,1-3年,大专,8k-15k,"节日福利,项目奖金,环境好,氛围好","['1', '3']",2.0,"['8', '15']",9.75
深圳市微趣时代科技有限公司,微趣时代,50-150人,未融资,福田区,PHP高级工程师,3-5年,本科,15k-25k,五险一金 带薪年假 年终双薪 节日福利,"['3', '5']",4.0,"['15', '25']",17.5
深圳深资创软件开发技术有限公司,深资创,15-50人,未融资,宝安区,PHP工程师,3-5年,本科,8k-15k,"高薪,奖金","['3', '5']",4.0,"['8', '15']",9.75
深圳市驰基电竞互娱有限公司,驰基电竞,15-50人,不需要融资,南山区,php主管(技术负责人),5-10年,不限,15k-30k,"五险一金,周末双休,扁平化管理,甲级办公室","['5', '10']",7.5,"['15', '30']",18.75
上海提捺信息科技有限公司,上海提捺信息科技有限公司,500-2000人,不需要融资,南山区,PHP开发工程师（经理/主管）,5-10年,大专,16k-25k,"税后薪资,出国机会,包吃住,奖金分红","['5', '10']",7.5,"['16', '25']",18.25
深圳市中子星网络科技有限公司,技术服务商,500-2000人,A轮,南山区,php开发工程师,3-5年,大专,15K-25K,年底双薪、带薪年假、加班补助,"['3', '5']",4.0,"['15', '25']",17.5
深圳曲速科技有限公司,曲速科技,50-150人,不需要融资,宝安区,PHP开发,3-5年,大专,9k-15k,"项目奖金,福利多","['3', '5']",4.0,"['9', '15']",10.5
深圳市览网科技有限公司,览网,15-50人,天使轮,南山区,PHP高级工程师,3-5年,大专,14k-20k,股权,"['3', '5']",4.0,"['14', '20']",15.5
深圳市捷伴信息科技有限公司,捷伴,少于15人,不需要融资,罗湖区,PHP工程师,1-3年,本科,8K-16K,"能力提升快,尊重人才,自我价值","['1', '3']",2.0,"['8', '16']",10.0
深圳云行智能科技有限公司,云行智能,50-150人,天使轮,福田区,php开发工程师,1-3年,大专,15K-25K,项目赛道发展前景好，公司技术牛人多,"['1', '3']",2.0,"['15', '25']",17.5
深圳市品尚汇电子商务股份有限公司,品尚红酒,150-500人,上市公司,南山区,PHP开发工程师,1-3年,本科,9k-12k,"电商行业,发展空间","['1', '3']",2.0,"['9', '12']",9.75
深圳市田丁互联网科技有限公司,田丁科技,50-150人,不需要融资,南山区,PHP开发工程师,3-5年,本科,12k-18k,"大咖,准上市公司,氛围轻松","['3', '5']",4.0,"['12', '18']",13.5
深圳犀牛之星信息股份有限公司,犀牛之星,50-150人,B轮,南山区,PHP,3-5年,大专,10k-18k,"弹性工作,下午茶","['3', '5']",4.0,"['10', '18']",12.0
深圳市彭珠贸易有限公司,彭珠贸易,500-2000人,不需要融资,宝安区,Base曼谷--高级PHP工程师,5-10年,大专,13k-19k,"税后13薪,绩效奖金,双休,出国","['5', '10']",7.5,"['13', '19']",14.5
深圳市智淘网络有限公司,智淘,15-50人,不需要融资,,中级PHP工程师,1-3年,大专,9k-18k,晋升空间大+大数据,"['1', '3']",2.0,"['9', '18']",11.25
深圳优卡南方能源有限公司,优卡,50-150人,A轮,龙岗区,PHP中级工程师,1-3年,大专,10k-15k,"股票期权,带薪年假,绩效奖金,晋升空间大","['1', '3']",2.0,"['10', '15']",11.25
深圳前海黑鲸科技有限公司,深圳前海黑鲸科技有限公司,15-50人,A轮,南山区,PHP开发工程师,1-3年,大专,6k-12k,"PHP,开发工程师","['1', '3']",2.0,"['6', '12']",7.5
上海酷萌网络科技有限公司,酷萌网络（LNI技术有限公司）,500-2000人,不需要融资,南山区,PHP运维开发工程师（国外）,3-5年,大专,20k-30k,"税后工资,海外经历,公寓住宿,20天年假","['3', '5']",4.0,"['20', '30']",22.5
深圳市星图互联科技有限公司,星图互联,少于15人,未融资,宝安区,PHP研发工程师,1-3年,本科,10k-20k,"弹性上班,靠谱团队,项目奖金","['1', '3']",2.0,"['10', '20']",12.5
深圳市慧创恒通科技有限公司,HCHT,15-50人,不需要融资,南山区,PHP开发工程师,3-5年,大专,13k-15k,领导亲和,"['3', '5']",4.0,"['13', '15']",13.5
