data-id,城市,美食,票数
143791,获嘉,没有,0
84562,汶上,没有,0
144209,阳谷,没有,0
18929,南澳岛,没有,0
64948,寿丰,没有,0
144202,鱼台,没有,0
10447,梅州,没有,0
18341,从化,没有,0
175775,淮滨县,没有,0
145805,大树,没有,0
140763,安丘,没有,0
22113,南雄,没有,0
144182,庆云,没有,0
64866,头城,没有,0
143775,通许,没有,0
18253,惠东,没有,0
144213,郯城,没有,0
145826,水里,没有,0
143794,商水县,没有,0
173546,番路乡,没有,0
13022,河源,没有,0
21770,大伾山,没有,0
64870,大溪,没有,0
144205,高唐,没有,0
19409,龙峪湾,没有,0
19896,外伶仃岛,没有,0
25867,函谷关,没有,0
16921,嵖岈山,没有,0
11446,汕尾,擂茶,3
11446,汕尾,菜稞,1
11446,汕尾,五果汤,1
11446,汕尾,米花糕,1
11446,汕尾,虾姑,1
11446,汕尾,年糕,1
11446,汕尾,煮凤虾,1
16785,增城,没有,0
145861,鹿野,没有,0
176105,兰陵县,没有,0
64931,鹿谷,没有,0
32205,红旗渠,没有,0
15702,英德,没有,0
144214,莱西,没有,0
145807,凤山,没有,0
26450,河南老君山,没有,0
31899,官渡古镇,没有,0
144186,广饶,没有,0
18985,薄山湖,没有,0
63567,宾川,没有,0
167207,珠海横琴长隆国际海洋度假区,没有,0
19414,始祖山,没有,0
144194,巨野,没有,0
31559,康百万庄园,没有,0
27233,神农山,没有,0
63576,个旧,没有,0
141310,潮汕,没有,0
24023,花都,没有,0
144187,垦利,没有,0
175661,石龙区,没有,0
15606,尼汝,没有,0
63565,洱源,没有,0
14336,茂名,没有,0
10734,殷墟,没有,0
14191,揭阳,没有,0
132245,挖色镇,没有,0
16286,台山,没有,0
144216,昌乐,没有,0
18903,小浪底,没有,0
144203,泗水县,没有,0
84544,肥城,没有,0
21947,万仙山,没有,0
19937,永泰寺,没有,0
18119,泸西,没有,0
10774,呼伦贝尔,奶茶,305
10774,呼伦贝尔,手扒肉,273
10774,呼伦贝尔,烤羊腿,125
10774,呼伦贝尔,风干牛肉干,85
10774,呼伦贝尔,烤全羊,70
10774,呼伦贝尔,马奶酒,48
25755,下川岛,没有,0
140626,沧源,没有,0
64375,桓台,没有,0
10390,阿尔山,没有,0
16023,南澳县,没有,0
141495,南涧,没有,0
140762,惠民县,没有,0
18908,东西冲,没有,0
64954,马公,没有,0
22547,东澳岛,没有,0
64929,集集,没有,0
10456,额济纳旗,没有,0
144189,曹县,没有,0
11415,呼和浩特,没有,0
27779,赤坎古镇,没有,0
144198,济阳,没有,0
145939,和美,没有,0
75843,三星,没有,0
144200,嘉祥,没有,0
145804,大社,没有,0
17920,乌兰布统,没有,0
145811,金湖,没有,0
18190,乳源,没有,0
10478,克什克腾旗,烤全羊,478
10478,克什克腾旗,华子鱼,169
10478,克什克腾旗,蒙古奶茶,101
10478,克什克腾旗,手把肉,92
10478,克什克腾旗,奶豆腐,33
144204,东阿,没有,0
64930,信义,没有,0
18187,庙湾岛,没有,0
11573,赤峰,没有,0
14257,连州,没有,0
23613,陵县,没有,0
176129,河口区,没有,0
173543,梅山乡,没有,0
14939,满洲里,没有,0
10704,锡林郭勒,奶茶,93
10704,锡林郭勒,手把肉,74
10704,锡林郭勒,烧烤,66
10704,锡林郭勒,涮羊肉,40
10704,锡林郭勒,烤全羊,27
10704,锡林郭勒,烤羊腿,26
10704,锡林郭勒,莜面,23
10704,锡林郭勒,炒米,19
144176,无棣,没有,0
10414,海拉尔,没有,0
16021,闸坡,没有,0
13190,鄂尔多斯,没有,0
173537,中埔乡,没有,0
11577,阿拉善,没有,0
63572,勐海,没有,0
140538,茌平,没有,0
17795,九龙大峡谷,没有,0
11574,包头,没有,0
42797,云浮,没有,0
176150,牟平区,没有,0
144185,禹城,没有,0
84665,呈贡,没有,0
144201,金乡,没有,0
10763,额尔古纳,没有,0
84517,盐田,没有,0
140587,博兴,没有,0
176054,平原县,没有,0
10048,库布齐沙漠,没有,0
11440,虎门,没有,0
14392,巴丹吉林,没有,0
141534,新平,没有,0
11572,乌兰察布,没有,0
17149,武定,没有,0
20235,锡林浩特,没有,0
140556,夏津,没有,0
11511,放鸡岛,没有,0
63569,西盟,没有,0
63570,澜沧,没有,0
12586,通辽,没有,0
17796,毓璜顶,没有,0
38660,上川岛,没有,0
66249,贡山独龙族怒族自治县,没有,0
62069,兴安盟,没有,0
18308,打洛,没有,0
17296,开远,没有,0
19895,阳山,没有,0
144193,东明,没有,0
10707,多伦,没有,0
145934,斗南,没有,0
11605,巴彦淖尔,没有,0
64492,连南,没有,0
144196,鄄城,没有,0
27792,乌海,没有,0
19894,三水,没有,0
75850,北港,没有,0
144212,临沭,没有,0
145929,关西镇,没有,0
18001,根河,没有,0
63602,阳西,没有,0
149470,乌拉盖,没有,0
144179,乐陵,没有,0
26037,沙湾古镇,没有,0
64877,湖口,没有,0
18550,二连浩特,没有,0
64940,牡丹乡,没有,0
140765,昌邑,没有,0
18445,乌兰浩特,没有,0
64473,龙门,没有,0
64894,大湖,没有,0
16024,硇洲岛,没有,0
64945,秀林,没有,0
63599,徐闻,没有,0
144206,冠县,没有,0
17999,室韦,没有,0
145832,春日,没有,0
21821,新兴,没有,0
14475,恩和,没有,0
144188,利津,没有,0
75911,新店,没有,0
15957,达里诺尔湖,没有,0
17053,普宁,没有,0
144217,高青,没有,0
141536,元江,没有,0
17291,乐昌,没有,0
62962,阿拉善左旗,没有,0
36866,恩平,没有,0
63564,云龙,没有,0
64132,博罗,没有,0
144210,莘县,没有,0
63598,雷州市,没有,0
144178,沾化,没有,0
63601,阳春,没有,0
10291,太仆寺旗,没有,0
25608,库伦旗,没有,0
33201,石鼓镇,没有,0
34614,观澜版画村,没有,0
176087,山亭区,没有,0
22975,扎兰屯,没有,0
63573,禄丰,没有,0
22740,库尔滨,没有,0
63059,盈江,没有,0
144190,成武县,没有,0
62842,西乌珠穆沁旗,没有,0
175499,南沙区,没有,0
63316,达拉特旗,没有,0
141521,思茅,没有,0
144177,阳信,没有,0
21669,牙克石,没有,0
84746,斗门,没有,0
62834,正蓝旗,没有,0
144184,武城,没有,0
144215,宁阳,没有,0
64131,新丰,没有,0
141517,云南江城,没有,0
23456,信宜,没有,0
63839,大埔,没有,0
10775,翁牛特旗,没有,0
144181,宁津,没有,0
17943,德庆,没有,0
141502,维西,没有,0
38395,罗定,没有,0
62838,东乌珠穆沁旗,没有,0
18756,陆良,没有,0
